complaint_id,complaint_text,order_amount,create_time
C001,我买了一件衣服，穿了一次就起球了，我要退款！,189,2026-05-01
C002,在你们平台买了个耳机，用了两天就坏了，能退钱吗,299,2026-05-01
C003,买的护肤品过敏了，脸都红了，要求退款赔偿,399,2026-05-02
C004,手表买回来就不走针，明显是次品，退一赔三,1299,2026-05-02
C005,鞋子码数不对，我要退货退款，你们客服一直不处理,259,2026-05-03
C006,买的包包五金件掉色，质量太差了，要求退款,459,2026-05-04
C007,电饭煲用了不到一个月就坏了，申请退款被拒，我要去12315投诉,599,2026-05-04
C008,蓝牙音箱连不上手机，申请退货退款，已经寄回去了,199,2026-05-05
L001,我买的商品已经发货了，但物流信息3天没更新了,88,2026-05-01
L002,包裹显示已签收但我根本没收到，快递员电话打不通,156,2026-05-03
L003,订单已经一周了还没有发货，催了好几次了,320,2026-05-05
L004,快递把我包裹弄丢了，商家推卸责任让我自己找快递公司,445,2026-05-06
L005,买的生鲜食品，快递慢了两天，到了都臭了,128,2026-05-07
L006,海外购的货卡在海关快半个月了，到底什么时候能到,899,2026-05-08
L007,我填错地址了，快递已经发出去了怎么办,233,2026-05-09
Q001,买的手机壳和图片完全不一样，颜色差很多,39,2026-05-02
Q002,奶粉打开有一股怪味，怀疑是假货，不敢给孩子喝,288,2026-05-04
Q003,买的窗帘布料和描述的厚度完全不符，太薄了,176,2026-05-06
Q004,运动鞋鞋底开胶了，才穿了一个星期，这质量太差了,399,2026-05-08
Q005,收到的衣服有明显色差，面料也和描述不一样,219,2026-05-10
S001,客服态度极差，我说了半天她一点都不耐烦，直接挂断了,99,2026-05-03
S002,我联系客服三次了，每次都是机器人回复，根本没人理我,456,2026-05-05
S003,商家推诿责任，明明是质量问题非说是我自己弄坏的,688,2026-05-07
S004,客服答应给我回电，等了两天都没有任何消息,345,2026-05-09
S005,投诉客服经理后态度更差了，这种服务我要曝光到网上,799,2026-05-11
O001,怎么修改收货地址？我已经下单了,66,2026-05-02
O002,优惠券为什么用不了？显示不符合条件,120,2026-05-06
O003,怎么联系商家？我想确认一下尺码再发货,355,2026-05-10
O004,同城配送要多久？我明天就要用,42,2026-05-12
O005,发票怎么开？我要电子发票,89,2026-05-13
B1-01,买的银手镯说是999纯银，拿回来一测根本不是，含银量最多60%，这算不算欺诈,399,2026-05-15
B1-02,这个银项链掉色也太严重了吧，戴了两天脖子都绿了，根本不是纯银的,259,2026-05-15
B1-03,S925银戒指，结果戴了一周就发黑，我以前买的银饰戴一年都不会这样，肯定是假的,329,2026-05-15
B1-04,银耳钉收到就有铜锈味，这是银的吗？我要退货退款,189,2026-05-16
B1-05,买的银饰套盒，里面好几件都有氧化斑点，商家非说是正常现象，这不是忽悠人吗,499,2026-05-16
B1-06,这个银镯子上面明明写的S925，但检测出来是铜镀银，假冒伪劣！我要去315举报,599,2026-05-16
B1-07,银项链的材质跟详情页完全不符，证书也是假的，太坑人了,429,2026-05-16
B1-08,买了两对银耳环都掉色，而且掉色之后里面露出来的是红色的，这根本就是铜的,239,2026-05-17
B1-09,那个银饰商家太黑了，我买的银手镯材质完全不对，而且多个买家都反映有这个问题,369,2026-05-17
B1-10,又是银饰，又是材质不符，你们平台到底管不管这类商家,279,2026-05-17
B1-11,S925银饰套链，收到货根本不是银的，戴了一次就过敏起疹子，要求退款加赔偿,549,2026-05-17
B1-12,"银饰手镯所谓的""纯银""承诺完全是虚假宣传，材质检测根本不过关，建议彻查该类商家",699,2026-05-17
B2-01,台湾集运的包裹已经等了一个月了还没到，物流显示一直在中转,399,2026-05-16
B2-02,集运包裹卡在中转站不动了，客服也联系不上，我的货到底在哪,459,2026-05-16
B2-03,台湾流向的物流是不是出了什么问题，我的集运订单已经有20多天没更新物流了,329,2026-05-17
B2-04,三个集运包裹全部积压，问了物流公司说是运力不够,589,2026-05-17
B2-05,集运台湾的订单物流已经超过30天，打了好多次电话都说在处理,429,2026-05-17
B2-06,我的集运包裹显示异常，问客服说是在协调，但是等了一周没任何进展,359,2026-05-18
B2-07,台湾集运商到底什么时候能恢复，我的订单各种节日礼物等着用呢,529,2026-05-18
B2-08,物流积压这么严重，你们平台至少应该主动通知消费者,289,2026-05-18
F01,买了一箱零食，有一包破了，其他的倒是好的,68,2026-05-11
F02,订单显示发货但是我看不到物流信息,145,2026-05-12
F03,收到了不是我买的东西，发错货了,200,2026-05-13
F04,手机壳质量不错但是型号发错了,45,2026-05-14
F05,客服挺好的帮我解决了问题，但是退款到账太慢了,500,2026-05-14
F06,我想问问能不能无理由退货，衣服标签还在,329,2026-05-15
F07,忘记用优惠券了能不能退差价,178,2026-05-18
F08,同城快递为什么跑了三天，这效率也太低了,56,2026-05-18
